methyl	BMI.p	arm.p	int.p	BMI.p2	arm.p2	arm2.beta1	arm3.beta1	BMI.beta1	arm2xbmi.beta1	arm3xbmi.beta1	arm2.beta2	arm3.beta2	BMI.beta2	NAs	zeros	non.zeros	ones	non.ones	outliers	diff.miss	ME	Chr	pos	genes	genes_flanking	genes_type	total.NAs	BMI.fdr	arm.fdr	int.fdr	BMI.fdr2	arm.fdr2
chr2.23616862	3.70735412440843e-05	0.00047369362790333	7.09183087008551e-05	0.0646483777192551	0.655176733662054	0.0672854087463483	0.321305209643892	0.00240976072015252	-0.00251011822898928	-0.0127437626020104	0.0001838909978531	-0.010971930310132	-0.00260369227575742	0	0	99	19	80	0	1	.	chr2	23616862	KLHL29,AC011239.2	KLHL29,AC011239.2	HAVANA,HAVANA	0	0.118149136915956	0.20539334771949	0.272578807844912	0.96908452408994	0.958381172907251
chr2.231900556	0.000351695678874272	0.000348365829556333	0.00012549336535479	0.513957904955733	0.303240058473968	0.0255206999625863	-0.0690053030522093	-0.000727619041838331	-0.00126673979069084	0.00247950987598679	-0.00579132618885777	-0.00417566939276214	-0.00026087439179687	0	40	57	0	97	2	0.532467532467543	.	chr2	231900556	.	.	.	2	0.29164900670613	0.183669210065665	0.319587961376271	0.999952590254861	0.876546945414241
chr2.126777750	0.000123460379326387	0.000109528578713634	7.56630878480784e-05	0.234629431765246	0.162952958035529	0.20231432083788	0.296379664790169	0.00817484762693082	-0.00866846562409955	-0.0120856339327552	-0.0218680380069001	-0.0193318555693379	0.00155925201422619	0	22	75	0	97	2	0.532467532467543	.	chr2	126777750	.	.	.	2	0.201715101691709	0.121669173314275	0.276300853014194	0.994514566974755	0.80573354313561
chr2.124987464	0.000524798620220188	0.000742252162520468	0.000153047273666497	0.826913431086347	0.528984348429368	-0.240803691972661	0.289332839467363	0.00099669729556914	0.0093494565294875	-0.0121499759975156	-0.0036326290170102	-0.0220317539214382	0.000467062160694475	19	0	80	28	52	0	0.387274474972859	.	chr2	124987464	.	RNU6-259P	ENSEMBL	19	0.328427593748576	0.238209201867686	0.338355494143374	0.999952590254861	0.936249609259569
chr2.240043697	0.000537320362442993	0.000874641959414135	0.000155160757893642	0.86184213687617	0.599683982919243	0.0561539488355319	0.8438831283958	0.0104059315743088	-0.00172769071401082	-0.0311276157974064	0.000743293881219821	0.0330620215197537	-0.000657613652183829	8	0	90	6	84	1	0.827137775374257	.	chr2	240043697	.	OR6B3	HAVANA	9	0.330889077914956	0.249728665939465	0.33983114198727	0.999952590254861	0.949299388615913
chr2.231717723	0.000254629119548206	0.000700668774482034	7.06882251087013e-05	0.864930902352726	0.943908935994529	0.746860149595141	0.121196962766985	0.0105425689380589	-0.0292509673120201	-0.00426206279575897	-0.00290411867132534	0.00766428691936633	0.000549146782929474	6	0	93	3	90	0	0.582749421760761	.	chr2	231717723	.	PTMA,MIR1244-1	HAVANA,ENSEMBL	6	0.262266986705047	0.233895660171942	0.272578807844912	0.999952590254861	0.99440545585339
chr2.218264042	0.00028670357178517	0.000251646240812919	8.18465770580541e-05	0.799191502888239	0.332735789807574	-0.610601238218829	0.459805045551442	-0.00310883483264966	0.0255108955351194	-0.0154078003767557	0.0439666491846328	0.0612439742211211	-0.00106752573391551	12	0	87	0	87	0	0.999999999999965	.	chr2	218264042	.	GPBAR1,AAMP	HAVANA,HAVANA	12	0.270335329507685	0.164408177480616	0.280388456881695	0.999952590254861	0.886662659584412
chr2.96797714	3.33298634412662e-05	0.000528388127994926	0.000210548131080216	0.0211120414934907	0.298130003264497	-0.313790570179058	0.0430765121124049	-0.00651887298965086	0.0121400378338616	-0.0027484698948053	-0.00753944498849866	-0.0282123779348102	-0.00395464740825519	19	0	79	39	40	1	0.0832924453039403	.	chr2	96797714	CNNM4	CNNM4,MIR3127	HAVANA,ENSEMBL	20	0.112797912845587	0.21325254548687	0.364520310255414	0.926301206253818	0.87459317112576
chr2.131394711	3.47564360987353e-07	2.82471664427516e-06	2.49893845952826e-06	0.0198071700482753	0.1261674400442	0.0812291470876218	0.0651958466615626	0.00249562027149614	-0.00314450806246906	-0.00266433747592069	0.000328075450024021	-0.0050724772337679	0.000722569025038851	0	74	16	0	90	9	0.909811013238729	.	chr2	131394711	.	MED15P3,AC073869.4	HAVANA,HAVANA	9	0.013423983308998	0.0210183586673997	0.0788491823191532	0.92247082922343	0.775070239290372
chr2.117917398	1.75744640810613e-07	1.72748802666815e-06	4.29810345283752e-07	0.0569534437437544	0.344562196020138	0.0196118129516475	0.531548892190873	0.00255648924244188	0.000211502060494271	-0.0206827525444576	0.0177387621083536	-0.0124298814253778	-0.00404290347142688	12	0	86	21	65	1	0.610641801841851	.	chr2	117917398	HTR5BP,CCDC93	HTR5BP,CCDC93	HAVANA,HAVANA	13	0.00993551514219548	0.0162327903894742	0.0391587751920183	0.966510647381045	0.890425757540778
chr2.132585622	0.000214977100420527	0.000441081409788908	0.000122490408153914	0.264745237237262	0.38959220521888	-0.309030159008996	0.289221852346587	0.0036385066214582	0.0110565108610526	-0.0119854754595852	-0.0302478366253682	-0.0251854014474983	0.00271446315189593	8	0	91	27	64	0	0.813184926727942	.	chr2	132585622	GPR39	GPR39	HAVANA	8	0.244140495977782	0.200145923273566	0.318897976606478	0.996157372933449	0.904275338232149
chr2.45004795	0.000187880106298192	4.18732820903898e-05	5.14183063125077e-05	0.863877613592403	0.100881670826937	0.132712268239801	0.0631379075169337	0.00260926859597449	-0.00540370780259298	-0.00281041162033528	-0.00631585117298228	-0.0111030857252473	9.07796279932453e-05	1	72	15	0	87	11	0.25105743299275	.	chr2	45004795	.	SIX2	HAVANA	12	0.232890286207218	0.077717614997456	0.24158274201256	0.999952590254861	0.747607889771842
chr2.45004793	0.00029662815739774	0.000133738667318046	8.61018469936826e-05	0.765037784122364	0.180970716566906	0.130076733303193	0.0736613992412532	0.00273384518554823	-0.00510594406626385	-0.00313153542629594	-0.00154779064436642	-0.00891965415915612	0.000157637464224773	1	71	16	0	87	11	0.25105743299275	.	chr2	45004793	.	SIX2	HAVANA	12	0.274724074704656	0.13007477282968	0.283177437114725	0.999952590254861	0.817702353957203
chr2.118850037	3.97317055219876e-05	3.43638054680584e-05	7.74985612202135e-05	0.0660248003761697	0.0585552836293827	0.108932146639277	0.0509031538217545	0.00289375206917356	-0.0044911589106076	-0.00231874843956487	-0.00716966399833883	-0.0104903954884808	0.000843338597102923	4	63	26	0	89	6	0.703336689380275	.	chr2	118850037	.	EN1	HAVANA	10	0.122074532627941	0.0707581253759447	0.276300853014194	0.969756799208392	0.678023889734373
chr2.95122565	1.66682884775014e-05	5.14739410568471e-05	5.1465906207404e-06	0.536837539072485	0.791648772590795	-0.278875012414755	0.484774005847401	0.00219757670050047	0.0105264044023999	-0.0190582049767987	-0.0179825564183249	-0.0135794763809763	-0.00173770881974404	5	0	91	16	75	3	0.732722203244866	.	chr2	95122565	MRPS5	MRPS5	HAVANA	8	0.0829360889394077	0.086994293231176	0.10706180709744	0.999952590254861	0.976896357806749
chr2.101050418	0.000371848842606679	0.000658149865869982	0.000103897127655539	0.930090194685745	0.6472854413986	0.0255147744124188	0.29705318990254	0.00406251950946064	-0.000403921787383035	-0.0113379997237766	0.0113903897855926	0.00175814537648957	0.000119350765578155	8	0	90	32	58	1	0.374876138150477	.	chr2	101050418	TBC1D8	TBC1D8	HAVANA	9	0.297706737911989	0.229875510366676	0.301079834033644	0.999952590254861	0.95707747331343
chr2.119159855	2.22827335943105e-05	7.7812531851137e-05	2.04983570752105e-05	0.145777012823849	0.373207058614813	-0.642045424410108	-0.341325255872365	-0.0156771736741175	0.0255906222265497	0.0139800137810337	0.026108837727424	0.0347877237895837	-0.00359250721407671	8	0	88	21	67	3	0.920810185079247	.	chr2	119159855	.	C1QL2	HAVANA	11	0.0955934989803484	0.105765143647352	0.187829450121559	0.987287181101683	0.899417451288745
chr2.172080546	2.00780885665866e-05	6.44667279765369e-05	4.93071909580823e-06	0.916001719064221	0.990667676892561	0.257411845154711	-0.0610454574448296	0.00179634141384783	-0.0101100643703727	0.0024180451855634	-0.000116070573337847	0.00130644962941068	-0.000127471548691982	0	17	74	0	91	8	0.377491518767098	.	chr2	172080546	METAP1D	METAP1D,DLX1	HAVANA,HAVANA	8	0.0904577299063499	0.0967666932936673	0.106687331511542	0.999952590254861	0.999207098929604
chr2.238452715	0.000227944703968695	2.21789056674845e-05	0.000149267733715711	0.225139713937191	0.0219767494762894	0.189178379311796	0.0668066665169301	0.00175779470275929	-0.00727614484487114	-0.00174701751910504	0.00221880153189367	0.0211430180748295	-0.000977878291691116	7	0	89	56	33	3	0.374586907255893	.	chr2	238452715	.	ASB1,AC016999.2	HAVANA,HAVANA	10	0.249667922990372	0.0569870693492165	0.335324697732495	0.994514566974755	0.553975876153776
chr2.227699663	3.96978375429981e-05	1.81171881894459e-06	3.89712887463813e-05	0.13901463982995	0.00879045774779916	-0.0893482584832325	0.112869642601409	-0.000314359962064382	0.00278375722330058	-0.00531809982588705	-0.0194202555160206	-0.0261379891172883	-0.00124928947968889	8	0	84	60	24	7	0.159846894333452	.	chr2	227699663	SLC19A3	SLC19A3	HAVANA	15	0.122074532627941	0.0165865387695779	0.224710471010367	0.986297328254948	0.451122516792642
chr2.98139266	3.01720542137731e-08	4.53316308541845e-11	2.79871243167566e-08	0.140664630743311	0.00103425898101792	-0.355845625436911	-0.190571707107514	-0.00888493938682634	0.0144136361384705	0.00897624876061049	0.0147886645943631	0.0449697910332241	-0.00177378528991553	9	0	88	43	45	2	0.726605485496472	.	chr2	98139266	VWA3B	VWA3B	HAVANA	11	0.00330772810846117	1.86362074301098e-05	0.0128011536233974	0.986297328254948	0.255545454787192
chr2.82985935	0.000211172384507733	0.00098031983465086	0.000188311051978754	0.159235116264386	0.569628033896885	-0.0780171906988555	0.472532052808193	0.00131301895639622	0.0043633937385913	-0.017355147491072	0.0263005907806883	0.0161852631462682	-0.00363379744590403	12	0	84	21	63	3	0.32168358952973	.	chr2	82985935	.	.	.	15	0.243196342051221	0.258535276087882	0.354307675215765	0.988035670439705	0.943703413946051
chr2.19354189	0.00016083434303105	0.000257978656007236	4.30881609700524e-05	0.933629976685002	0.57529412393601	-0.101338691323089	-0.557409002929205	-0.00856943403855779	0.00454698221051079	0.022180046921199	0.0204896544215958	0.0229522379910976	0.00019955418806762	5	14	80	0	94	0	0.62046458695944	.	chr2	19354189	OSR1	OSR1	HAVANA	5	0.221533200321066	0.165889299784302	0.229461794350503	0.999952590254861	0.94469032770651
chr2.44802607	0.000110850829183636	0.000129355957293959	7.66680079025986e-05	0.205297578438017	0.191183311376589	0.127073267058529	0.115681040023695	0.00371636233478538	-0.00538589136350387	-0.00457499536835557	-0.0105477301397819	-0.00484671459282997	0.000766840477907335	1	52	39	0	91	7	0.654354863185828	.	chr2	44802607	.	.	.	8	0.192516289494165	0.128775613987187	0.276300853014194	0.99336274267521	0.824117465814732
chr2.212535988	0.000323117927865661	0.00212979323959935	0.000227555228537345	0.205051666937877	0.99706951839617	0.774780363972495	0.570132038737065	0.0120116044366832	-0.0302226418214743	-0.0217474899308469	-0.00145848248430725	0.00099903943137849	-0.00428365918468218	0	0	99	0	99	0	1	.	chr2	212535988	ERBB4	ERBB4	HAVANA	0	0.284126174715613	0.333584295021142	0.376241223292694	0.99336274267521	0.999698870156828
chr2.237796561	0.000469154490066408	0.000614824357604708	0.00015769779815327	0.586994223092128	0.429199599963433	-0.559491145281577	-0.290226108420112	-0.0120931074733647	0.0225630001039968	0.0121722141401933	0.0219310061682075	0.0301413188415672	-0.00130845934869867	10	0	87	13	74	2	0.929809027683851	.	chr2	237796561	LRRFIP1	LRRFIP1,RBM44	HAVANA,HAVANA	12	0.31814149507768	0.223680854612607	0.340695110040344	0.999952590254861	0.914454733074502
chr2.188606627	0.000690661220942038	1.15421329383754e-06	0.000202098363287448	0.86301723462241	0.00110040743747553	-0.116356861603676	0.610889709195586	0.00765856147373098	0.00443364619330639	-0.0284622397518647	-0.00909431217097519	-0.131132996998281	-0.000677278162809415	4	0	94	18	76	1	0.856697155259278	.	chr2	188606627	AC092598.1	AC092598.1	HAVANA	5	0.355810182812462	0.0135573316387511	0.360876877718812	0.999952590254861	0.259465847866908
chr2.234993270	2.88577972745595e-06	0.000111454853833476	2.5341259522131e-05	0.0156882988618423	0.430423897297895	0.121153945915864	0.355831164591496	0.00231433211272473	-0.00427330919810388	-0.0140478960797979	0.00734459746891279	-0.0115377629757811	-0.00352442238146276	12	0	86	23	63	1	0.754627420914842	.	chr2	234993270	SH3BP4	SH3BP4	HAVANA	13	0.0361909056551717	0.12246613403607	0.19365892538643	0.909779944041414	0.914850278979568
chr2.112159749	2.97081507184712e-06	3.37054906691017e-05	5.33865969728782e-06	0.070303696232334	0.534128700315641	-0.245221219923122	-0.325476361833826	-0.00952338961904861	0.0100165598504796	0.0127261208408733	0.0137940833710783	0.00742556727649964	-0.00231418377114988	1	0	95	23	72	3	0.148324184406666	.	chr2	112159749	FBLN7	FBLN7	HAVANA	4	0.0361909056551717	0.0700713288716345	0.10706180709744	0.972349279659985	0.937224836062029
chr2.225583012	0.000133736021698824	0.000111873744966302	7.49111369723276e-05	0.271793349261831	0.17939877453892	-0.0920007082902026	0.333325056105807	0.00572837311167835	0.00414099365200264	-0.0138474546609206	0.0116697100718103	-0.0244955833442073	0.00220432877476121	18	0	80	31	49	1	0.429408277662711	.	chr2	225583012	NYAP2	NYAP2	HAVANA	19	0.20535245654864	0.12246613403607	0.276300853014194	0.996567763705048	0.816794870413735
chr2.161423554	0.000215624657979871	0.000110190931898652	0.000200524010121505	0.151971233977202	0.0737563730323222	0.169789099693565	0.15078305242409	0.00521779773648794	-0.00722089530754269	-0.00596237201597056	-0.0176803894418527	-0.00625397680195468	0.00115692556649757	3	69	15	0	84	12	0.88237027412182	.	chr2	161423554	TBR1,AC009487.1	TBR1,AC009487.1,AC009487.3,SLC4A10	HAVANA,HAVANA,HAVANA,HAVANA	15	0.244414323797496	0.121898252286153	0.360152750057553	0.987731103517405	0.708297304188677
chr2.200174890	0.000391266870962229	0.000321865929933437	0.000125299763827742	0.634537515138441	0.294517106766393	-0.455133661259766	-0.107840450991086	-0.00506603033027764	0.0176151705319952	0.00287547700006986	-0.000229332620472309	-0.0267861161532446	0.000960829664380644	11	0	81	27	54	7	0.393373825407085	.	chr2	200174890	.	.	.	18	0.302615622018384	0.180152129597764	0.319587961376271	0.999952590254861	0.873230373481049
chr2.119247736	0.000313520714442582	0.000850632354875334	8.7031478450361e-05	0.915823642734968	0.950043153563374	0.441942364867335	0.390496065276813	0.00973435781713235	-0.0172482442257291	-0.0151179567299038	-0.00583827838688225	-0.00575164812081194	-0.000210626443398291	18	0	81	19	62	0	0.295803575040275	.	chr2	119247736	STEAP3,STEAP3-AS1	STEAP3,STEAP3-AS1	HAVANA,HAVANA	18	0.280357231320785	0.248343348850781	0.283681932054943	0.999952590254861	0.995073799919773
chr3.147423056	0.000239447362010509	0.000107301194685225	0.000181158706402231	0.190745895224339	0.0770580934365651	0.147417504877702	0.111185859310024	0.00425248401969926	-0.00583274754124095	-0.00480894446931934	-0.00312866232463793	-0.0145936137536065	0.000885650594018372	2	68	20	0	88	9	0.143398744980955	.	chr3	147423056	ZIC1	ZIC1	HAVANA	11	0.255531782351568	0.12052570046435	0.352818323358757	0.991831045502154	0.713646051105909
chr3.13135149	0.000121068101996802	0.000119992287449789	8.08590480412537e-05	0.216445220999396	0.173372130275386	-0.205977675508183	0.39204464054428	0.000900688194772862	0.00725042998969242	-0.0169696510818954	-0.0271395652040183	-0.0476735764027339	-0.00320011045077239	12	0	87	19	68	0	0.999999999999965	.	chr3	13135149	IQSEC1	IQSEC1	HAVANA	12	0.200062291879441	0.12517295607512	0.279816519212376	0.994255244134697	0.812813439168307
chr3.96619631	0.000711483565309814	0.00175803508002141	0.00022707457587011	0.674941155975098	0.831363647211268	-0.0895462877137569	0.0958835096838597	0.000602720368451868	0.00337294764069927	-0.00382564912641771	-0.00432232736265043	-0.00342336637247755	0.000326531201311403	1	0	98	34	64	0	0.999999999999961	.	chr3	96619631	RPL18AP8	MTRNR2L12,RPL18AP8	HAVANA,HAVANA	1	0.358232410824591	0.316138478890213	0.376041214523477	0.999952590254861	0.981654816130647
chr3.130144423	0.000525072210306089	0.000525539256013646	0.00014948111342882	0.926893444091231	0.391548171520847	0.255994810454868	-0.388413892019833	-0.00414964778408592	-0.00933083289291531	0.0162025217981479	0.0303274207857545	0.036293071829994	-0.000260807625574179	12	14	70	0	84	3	0.496702352785473	.	chr3	130144423	LINC02021	LINC02021	HAVANA	15	0.328427593748576	0.212706072556273	0.335324697732495	0.999952590254861	0.90477692073519
chr3.92397639	0.00056368987178691	0.00112936475148771	0.000191699865347356	0.58598897927733	0.639900649272996	0.144980731047145	0.558863854498315	0.00717014604225928	-0.00447244091565701	-0.0205399076383487	0.0210068623529859	0.0167751309597539	-0.00132695892996977	15	0	83	5	78	1	0.65862411437089	.	chr3	92397639	.	.	.	16	0.335794411763942	0.271316970983665	0.35592359228725	0.999952590254861	0.955741642425967
chr3.195838012	6.79977921418602e-06	0.000560846713398417	0.000169079904753686	0.00482546119167659	0.363992309856738	-0.156351372029793	0.353948156903499	-0.00349686041698722	0.00611281190963622	-0.0148007887586335	-0.00453584462824139	-0.0296555328006392	-0.00640195773352094	1	0	98	7	91	0	0.292929292929288	.	chr3	195838012	LINC01983	LINC01983	HAVANA	1	0.0574483910895349	0.217341488315998	0.348858939791491	0.83705592431048	0.896760925486611
chr3.130183512	3.14478142936157e-05	0.000304819178792257	3.48119994761199e-05	0.116799238495141	0.796722788866389	0.133700343417629	0.373836993453701	0.00403520446830821	-0.00496320417364569	-0.0145996772765242	0.00320555815873528	-0.00659191972117624	-0.00244971240553522	0	0	96	8	88	3	0.637128703402636	.	chr3	130183512	LINC02021,AC130888.1	LINC02021,AC130888.1	HAVANA,HAVANA	3	0.109795803826525	0.177442737282969	0.216022644281186	0.983353290325372	0.97751449268591
chr3.69660813	0.000114495044607535	0.000156382274847984	0.000182097654128103	0.0825357543735876	0.10804809285497	0.718227707313705	0.467255328340429	0.00820490739679929	-0.0293348204122198	-0.0165707885754678	-0.0347196404564348	0.0322581239483766	-0.00551443045149504	11	0	88	28	60	0	0.287966550449253	.	chr3	69660813	.	.	.	11	0.195895623190338	0.138258157728546	0.353259693655634	0.976157055897324	0.755763941922799
chr3.114351588	0.000263210099540014	0.000722475569543943	0.000157871846314652	0.248430782260202	0.491115951751353	-0.0497965677608586	-0.304507121317352	-0.00573070513610963	0.00140002965849329	0.011051539501857	-0.0108513314484626	-0.0149982665781772	-0.00150848884992981	1	0	96	27	69	2	0.999999999999975	.	chr3	114351588	ZBTB20	ZBTB20,ZBTB20-AS1	HAVANA,HAVANA	3	0.264232438338635	0.23582029937512	0.340695110040344	0.9951608602096	0.928780644696686
chr3.48562854	2.81115890271566e-06	1.02957320395858e-05	5.33209677189719e-06	0.0699739252091557	0.202750587738909	-0.487423000485472	-0.557517443767058	-0.0172128567634729	0.0199117339296028	0.0210163738641492	0.0332457901958338	-5.52713182015767e-05	-0.00404289182732607	13	0	86	13	73	0	0.86994500301887	.	chr3	48562854	UCN2	PFKFB4,UCN2,COL7A1	HAVANA,HAVANA,HAVANA	13	0.0361909056551717	0.0400876825115146	0.10706180709744	0.972211745256047	0.831060299330628
chr3.177181015	2.04308783205694e-05	2.93825798342453e-05	1.24785444881008e-05	0.229496834253048	0.244819517533491	0.301449186894732	0.380688436566748	0.00602593574311814	-0.0109895818336121	-0.0135228879992652	0.0161147402128616	0.0246647649221363	-0.0017414886473838	12	0	86	36	50	1	1	.	chr3	177181015	TBL1XR1	TBL1XR1	HAVANA	13	0.0912967677427416	0.0660795484647414	0.160313518345321	0.994514566974755	0.852548347636889
chr3.149109565	2.14148492102704e-05	3.7758280528078e-05	3.33704978241116e-05	0.0806569367248342	0.127343583112722	0.286431043967153	0.270824976915912	0.00409911503541124	-0.0103001111024516	-0.00993713103741596	0.0221680149570367	0.0119832380414516	-0.00206187652892769	0	0	97	32	65	2	0.532467532467543	.	chr3	149109565	.	.	.	2	0.0933399939901157	0.0736756155349836	0.213523532484036	0.975706981579763	0.776434893642595
chr3.82715577	0.000673363815894918	0.00198906849952753	0.000223846130806666	0.618663879110164	0.947766249878819	-0.161696442296553	0.736494242302452	0.00922726576620508	0.00664095832853638	-0.0285320045535141	0.00267117068289392	-0.009899568425469	0.0019829258949348	7	0	91	14	77	1	0.341666449025823	.	chr3	82715577	.	.	.	8	0.355268093613639	0.327914094124362	0.374743378988464	0.999952590254861	0.994858581496631
chr3.71057102	0.000197268988466344	0.000970557966840417	0.000115211310402354	0.255024016238162	0.847393261834142	0.310599471334526	0.0864554822516154	0.00625618100019566	-0.0118417439248454	-0.00316973938233776	0.00690586944971835	0.00211651318823113	0.00146414335168055	6	0	93	48	45	0	0.0481180671645064	.	chr3	71057102	FOXP1,AC097634.4	FOXP1,AC097634.4	HAVANA,HAVANA	6	0.236797912746721	0.257796405925584	0.309237721161715	0.995871716302062	0.983575408619937
chr3.125738688	0.000364549156890047	0.000890962522901179	0.000125264129657997	0.550881457657821	0.729880775814125	-0.839645450736287	-0.582287558081824	-0.019757214978758	0.033029444547249	0.0226263391309653	0.0245857603145369	0.0214993596169941	-0.00202267185440788	6	0	92	9	83	1	0.701198323732158	.	chr3	125738688	.	OR7E53P	HAVANA	7	0.295891970834171	0.251164671041903	0.319587961376271	0.999952590254861	0.969102535310327
chr3.52517059	4.96192450223313e-06	1.74711972448794e-05	1.24579735213598e-06	0.725397664640043	0.9680064578502	-0.139692535600705	0.459867585689708	0.00333883180794975	0.00534925128233696	-0.0178357051451457	-0.00531308806847485	-0.00251487774952344	-0.000773314802827231	8	0	89	15	74	2	0.144334203002973	.	chr3	52517059	STAB1	STAB1	HAVANA	10	0.0482813751182292	0.0505878687703061	0.0660848476504847	0.999952590254861	0.996872799538539
chr3.21387606	6.60764903824527e-06	8.63431601397857e-05	7.78212813843112e-06	0.109975724936425	0.886888793986412	-0.108269356909414	0.288020540142371	-0.000714900523768288	0.00461364592696405	-0.0108726105808932	0.00397693032448825	0.00685428096841699	-0.00226245027779915	7	0	91	37	54	1	0.469269312739973	.	chr3	21387606	.	.	.	8	0.0571886112153094	0.109997742667026	0.125462630598674	0.982227413015317	0.988312828974327
chr3.61788746	0.000746843932759281	0.000686498076827084	0.000215788061915103	0.976788694509991	0.362543788346633	0.0831342649044334	0.423849979264092	0.00681148056346112	-0.00229739888674936	-0.0165401635644271	0.0164192621652967	-0.010485413815901	5.88006148650041e-05	9	0	88	19	69	2	0.0411380350635093	.	chr3	61788746	PTPRG	PTPRG	HAVANA	11	0.363138618828842	0.232963312380113	0.368335967400524	0.999952590254861	0.896441043799823
chr3.42769741	0.0001723082572572	0.000158233925847589	4.66872987475478e-05	0.887295895075247	0.348284890907608	-0.113220691135967	0.162613618336572	0.000908151846793724	0.00403727063073655	-0.0068336258347737	-0.0110940015866826	-0.0150570662846769	-0.000155545426929073	5	0	92	47	45	2	0.890760677493498	.	chr3	42769741	AC006059.2,CCDC13	AC006059.2,CCDC13,LINC02158	HAVANA,HAVANA,HAVANA	7	0.22689455555708	0.138850660852927	0.234097378537239	0.999952590254861	0.891836786232722
chr3.127722579	0.000235104901470389	0.000556910521640651	6.63556772629627e-05	0.805386435755968	0.812479047709362	-0.977354699041116	-0.62553581679355	-0.0175607346567831	0.0387160540729492	0.0236395072032486	0.0238724919643757	0.00322399144811102	0.00106144861503422	18	0	79	0	79	2	0.492180625031935	.	chr3	127722579	MGLL	MGLL	HAVANA	20	0.253850465160641	0.216884763110467	0.26667735640517	0.999952590254861	0.979350838807833
chr3.13570908	0.00062859951293244	0.000716205505358444	0.000224903900078491	0.537278145044457	0.359645972609923	0.689657335792255	0.136055606635701	0.00751030100623672	-0.027576185677021	-0.00411877371169149	-0.0194815908340586	0.0240052054629489	-0.00194729723759874	5	0	94	6	88	0	0.856697155259278	.	chr3	13570908	FBLN2	FBLN2	HAVANA	5	0.348395612689596	0.234933247587841	0.374879045514583	0.999952590254861	0.895484000877828
chr3.16605233	2.86604431728679e-08	2.5649288727833e-07	6.19550654967242e-05	0.000116251043734127	0.0011820272318921	-0.190027128203889	-0.206213451957438	-0.00849415875646442	0.00840736520030181	0.00766666611438889	0.0291820811140414	-0.00313187903743434	-0.00378826581417098	14	0	79	57	22	6	0.419761897894161	.	chr3	16605233	DAZL	DAZL	HAVANA	20	0.00330772810846117	0.00717845156548977	0.263258279638177	0.525647261335913	0.266085684638749
chr3.49652345	0.000439653424317625	0.00170907163725189	0.000216150009481387	0.327686337305875	0.844493105528658	0.363416661099553	0.188243848010742	0.00757829698306611	-0.0139514730878667	-0.0069840904042761	0.00780932098309194	0.00598098950826407	0.00145691695716924	1	0	97	22	75	1	0.999999999999994	.	chr3	49652345	BSN	BSN	HAVANA	2	0.313249826477862	0.313526751412432	0.368335967400524	0.998050145678205	0.983253428251016
chr3.45928349	4.881685865712e-06	2.94712827045181e-07	2.15006334981427e-06	0.314069333975144	0.0206504955261725	-0.175705548592288	0.176235181606468	-0.00111840103317605	0.00760694535108444	-0.00756048232381825	0.016535291689426	-0.0201598577565377	-0.0013786266594474	0	0	99	24	75	0	1	.	chr3	45928349	FYCO1	FYCO1	HAVANA	0	0.0477833650786332	0.00727951608223059	0.0752262792452155	0.997231588000489	0.546442567118926
chr3.115791594	2.18149855492381e-06	5.00780542005869e-06	1.13845118986423e-05	0.0271678442737491	0.0615350368919351	-0.654565046509931	-0.450975340702512	-0.020157808477357	0.0270470853629435	0.0193148568046446	0.0471482801474833	0.0657877297731338	-0.00592576901697963	15	0	82	37	45	2	0.277476586439482	.	chr3	115791594	.	.	.	17	0.034034210459284	0.0290284346896539	0.153451369303443	0.935694724014906	0.68463106680225
chr3.113254696	0.000105751859474543	0.00018478436258121	4.80421116514168e-05	0.339141285337168	0.387522231216449	0.33820749518653	0.752732203146164	0.0105762227284732	-0.0118439361869807	-0.0290637139777084	0.0327126552637238	-0.0029069061647902	-0.00289997428673822	1	0	96	3	93	2	0.773693169863994	.	chr3	113254696	BOC	BOC	HAVANA	3	0.188640153256951	0.146963421177787	0.236788815784735	0.998144169175686	0.903767141315682
chr3.197662519	0.000191910449057888	0.000178442536654902	7.14142385375338e-05	0.461543690777727	0.267073138661101	-0.288380964761086	-0.636730507717143	-0.0125858731475604	0.00956395841019821	0.0236957167755604	-0.0383743143453148	-0.0198797372029125	-0.00183960434022492	0	0	97	0	97	2	0.532467532467543	.	chr3	197662519	AC024560.1	AC024560.1,AC024560.5	HAVANA,HAVANA	2	0.235648858249459	0.144274718857749	0.272578807844912	0.999648588187554	0.862896329864363
chr3.170585103	6.76970423634855e-05	1.79107363640859e-05	1.88000148446882e-05	0.724544580624029	0.118936694628511	0.00682989339349625	-0.16779450861549	-0.00207165914148821	-0.000301815236845753	0.0069588225525089	0.00196094882235378	0.0155184783421397	0.000293535328083495	11	61	19	0	80	8	0.0696845626228171	.	chr3	170585103	AC026316.4,SLC7A14-AS1,SLC7A14	AC026316.4,SLC7A14-AS1,SLC7A14	HAVANA,HAVANA,HAVANA	19	0.155696853797082	0.051041804688678	0.183343698761482	0.999952590254861	0.767823821995698
chr3.68004130	2.89484685893433e-05	0.00032035456753709	4.69448360725161e-05	0.0783588240077305	0.651051319815567	0.0605095159050034	0.461686440243041	0.00321465944877732	-0.00216854122883963	-0.0182651146956647	0.000149018804826407	-0.0164211370967251	-0.00360704310608932	0	0	94	3	91	5	0.62046458695944	.	chr3	68004130	.	TAFA1	HAVANA	5	0.106021864248952	0.179982883517027	0.234097378537239	0.97511243823348	0.957755973167947
